id,name,parent_id,depth,status,is_paragroup,defining_snps,source_version
A,A,,1,normal,False,M91,2007
BR,BR,,1,normal,False,"SRY1532.1, M42, M94, M139, M299
   (This category is also referred to as YxA.)",2007
B,B,BR,2,normal,False,"M60, M181",2007
CR,CR,BR,2,normal,False,"M168, M294, P9",2007
C,C,CR,3,normal,False,"M130, M216",2007
DE,DE,CR,3,normal,False,"M1, M145, M203",2007
D,D,DE,4,normal,False,M174,2007
E,E,DE,4,normal,False,"M40, M96, P29",2007
F,F,CR,3,normal,False,"P14, M89, M213, M235",2007
G,G,F,4,normal,False,"M201, U2, U3, U6, U7, U12, U17",2007
H,H,F,4,normal,False,M69,2007
IJ,IJ,F,4,normal,False,"S2, S22",2007
I,I,IJ,5,normal,False,"M170, M258, P19, U179",2007
J,J,IJ,5,normal,False,"12f2.1, M304, S6, S34, S35",2007
K,K,F,4,normal,False,M9,2007
L,L,K,5,normal,False,"M11, M20, M22, M61, M185, M295",2007
M,M,K,5,normal,False,"M4, M5, M106, M186, M189, P35",2007
NO,NO,K,5,normal,False,M214,2007
N,N,NO,6,normal,False,"LLY22g, M231",2007
O,O,NO,6,normal,False,M175,2007
P,P,K,5,normal,False,"92R7, M45, M74, P27, S25",2007
Q,Q,P,6,normal,False,"M242, MEH2, P36",2007
R,R,P,6,normal,False,"M207, M306, S4, S8, S9, M305",2007
A*,A*,,1,normal,True,,2007
A1,A1,,1,normal,False,M31,2007
A2,A2,,1,normal,False,"M6, M14, M23, M29, M49, M71, M135, M141, M196, M206, M212, MEH1, P4, P5, PK1",2007
A2*,A2*,,2,normal,True,,2007
A2a,A2a,,2,normal,False,M114,2007
A2b,A2b,,2,normal,False,P28,2007
A3,A3,,1,normal,False,M32,2007
A3*,A3*,,2,normal,True,,2007
A3a,A3a,,2,normal,False,"M28, M59",2007
A3b,A3b,,2,normal,False,"M144, M190, M220",2007
A3b*,A3b*,,3,normal,True,,2007
A3b1,A3b1,,3,normal,False,M51,2007
A3b2,A3b2,,3,normal,False,"M13, M63, M127, M202, M219, M305",2007
A3b2*,A3b2*,,4,normal,True,,2007
A3b2a,A3b2a,,4,normal,False,M171,2007
A3b2b,A3b2b,,4,normal,False,M118,2007
B*,B*,,1,normal,True,,2007
B1,B1,,1,normal,False,"M236, M288",2007
B1*,B1*,,2,normal,True,,2007
B1a,B1a,,2,normal,False,M146 (formerly B1),2007
B2,B2,,1,normal,False,M182,2007
B2*,B2*,,2,normal,True,,2007
B2a,B2a,,2,normal,False,M150,2007
B2a*,B2a*,,3,normal,True,,2007
B2a1,B2a1,,3,normal,False,M218,2007
B2a1*,B2a1*,,4,normal,True,,2007
B2a1a,B2a1a,,4,normal,False,"M109, M152, P32 (formerly in B2a1)",2007
B2a2,B2a2,,3,normal,False,M108.1,2007
B2a2*,B2a2*,,4,normal,True,,2007
B2a2a,B2a2a,,4,normal,False,M43,2007
B2b,B2b,,2,normal,False,"M112, M192, 50f2",2007
B2b*,B2b*,,3,normal,True,,2007
B2b1,B2b1,,3,normal,False,P6,2007
B2b2,B2b2,,3,normal,False,"M115, M169",2007
B2b3,B2b3,,3,normal,False,"M30, M129",2007
B2b3*,B2b3*,,4,normal,True,,2007
B2b3a,B2b3a,,4,normal,False,M108.2,2007
B2b4,B2b4,,3,normal,False,P7,2007
B2b4*,B2b4*,,4,normal,True,,2007
B2b4a,B2b4a,,4,normal,False,P8,2007
B2b4b,B2b4b,,4,normal,False,"MSY2.1, M211",2007
C*,C*,,1,normal,True,,2007
C1,C1,,1,normal,False,"M8, M105, M131",2007
C2,C2,,1,normal,False,M38,2007
C2*,C2*,,2,normal,True,,2007
C2a,C2a,,2,normal,False,P33,2007
C2b,C2b,,2,normal,False,M208,2007
C3,C3,,1,normal,False,"M217, P44",2007
C3*,C3*,,2,normal,True,,2007
C3a,C3a,,2,normal,False,M93,2007
C3b,C3b,,2,normal,False,P39,2007
C3c,C3c,,2,normal,False,"M48, M77, M86",2007
C3d,C3d,,2,normal,False,"M407
(originally identified by discoverer as C3a2)",2007
C4,C4,,1,normal,False,M347,2007
C4*,C4*,,2,normal,True,,2007
C4a,C4a,,2,normal,False,DYS390.1 del,2007
C4b,C4b,,2,normal,False,M210,2007
C5,C5,,1,normal,False,M356,2007
D*,D*,,1,normal,True,,2007
D1,D1,,1,normal,False,M15,2007
D2,D2,,1,normal,False,"M55, M57, M64.1, M179, P12, P37.1, M359.1, 12f2.2",2007
D2*,D2*,,2,normal,True,,2007
D2a,D2a,,2,normal,False,M116.1,2007
D2a*,D2a*,,3,normal,True,,2007
D2a1,D2a1,,3,normal,False,M125,2007
D2a1*,D2a1*,,4,normal,True,,2007
D2a1a,D2a1a,,4,normal,False,P42,2007
D2a1b,D2a1b,,4,normal,False,P53.2,2007
D2a2,D2a2,,3,normal,False,M151,2007
D3,D3,,1,normal,False,P47,2007
E*,E*,,1,normal,True,,2007
E1,E1,,1,normal,False,"M33, M132",2007
E1*,E1*,,2,normal,True,,2007
E1a,E1a,,2,normal,False,M44,2007
E2,E2,,1,normal,False,M75,2007
E2*,E2*,,2,normal,True,,2007
E2a,E2a,,2,normal,False,M41,2007
E2b,E2b,,2,normal,False,"M54, M90, M98",2007
E2b*,E2b*,,3,normal,True,,2007
E2b1,E2b1,,3,normal,False,P45,2007
E2b2,E2b2,,3,normal,False,M85 (formerly E2b),2007
E2b2*,E2b2*,,4,normal,True,,2007
E2b2a,E2b2a,,4,normal,False,M200,2007
E3,E3,,1,normal,False,"P2, DYS391p",2007
