from_year	to_year	old_name	new_name	defining_snps
2006	2007	I1a3	I1a1a	M72
2007	2008	BR	BT	M139, M299
   (This category is also referred to as YxA.), M42, M94, SRY1532.1
2007	2008	E1	E1a	M132, M33
2007	2008	E1a	E1a1	M44
2007	2008	E2b1	E2b1a1	P45
2007	2008	E2b2a	E2b1a	M200
2007	2008	E3a1	E1b1a1	M58
2007	2008	E3a2	E1b1a2	M116.2
2007	2008	E3a3	E1b1a3	M149
2007	2008	E3a4	E1b1a4	M154
2007	2008	E3a5	E1b1a5	M155
2007	2008	E3a6	E1b1a6	M10, M156, M195, M66
2007	2008	E3a8a	E1b1a8a1	U290
2007	2008	E3a8a1	E1b1a8a1a	U181
2007	2008	E3b	E1b1b	M215
2007	2008	E3b1a1	E1b1b1a1	V12
2007	2008	E3b1a2	E1b1b1a2	V13, V36
2007	2008	E3b1a2a	E1b1b1a2a	V27
2007	2008	E3b1a3	E1b1b1a3	V22
2007	2008	E3b1a3b	E1b1b1a3b	V19
2007	2008	E3b1a4	E1b1b1a4	V65
2007	2008	E3b1b1	E1b1b1b1	M107
2007	2008	E3b1b2	E1b1b1b2a	M165
2007	2008	E3b1c1b	E1b1b1c1b	M290
2007	2008	E3b1d	E1b1b1d	M281
2007	2008	E3c	E1b1c	M329
2007	2008	E4	E1b2	P75
2007	2008	I1*	I*	- (unobserved)
2007	2008	I1a2	I1a	M21
2007	2008	I1b1a	I2a2a	P41.2
2007	2008	K1a	M2a	M177
2007	2008	K2a	T1	M320
2007	2008	K3	K1	M147
2007	2008	M2a	M1b1	M104
2007	2008	O3a4a1	O3a3b1a	N4
2007	2008	Q1	Q1a1	M120, M265
2007	2008	R1a	R1a1	SRY1532.2
2007	2008	R1a1	R1a1a	M17, M198
2007	2008	R1a1a	R1a1a1	M56
2007	2008	R1a1b	R1a1a2	M157
2007	2008	R1a1c	R1a1a3	M204, M64.2, M87
2007	2008	R1b1b	R1b1b1	M73
2007	2008	R1b1c	R1b1b2	M269, S10, S13, S17, S3
2007	2008	R1b1c1	R1b1b2a1b6a	M37
2007	2008	R1b1c2	R1b1b2a1b1	M65
2007	2008	R1b1c3	R1b1b2a1b4a	M126
2007	2008	R1b1c4	R1b1b2a1b2	M153
2007	2008	R1b1c5	R1b1b2a1b4b	M160
2007	2008	R1b1c6	R1b1b2a1b3	M167
2007	2008	R1b1c7	R1b1b2a1b6b	M222
2007	2008	R1b1c8	R1b1b2a1b6c	P66
2007	2008	R1b1c9	R1b1b2a1a	M405, S21, U106
2007	2008	R1b1c11	R1b1b2a1b5	S68
2007	2008	R1b1d	R1b1c	M335
2008	2009	I2a2a	I2a2b1	P41.2
2008	2009	J2a1a	J2a4a	M322, M47
2008	2009	J2a1b	J2a4b	M67
2008	2009	J2a1b1	J2a4b1	M260, M92
2008	2009	J2a1b1a	J2a4b1a	M327
2008	2009	J2a1b2	J2a4b2	M163, M166
2008	2009	J2a1c	J2a4c	M68
2008	2009	R1b1b2a1a1	R1b1b2a1a1a	M467
2008	2009	R1b1b2a1a2	R1b1b2a1a1b	P107
2008	2009	R1b1b2a1b1	R1b1b2a1a2a	M65
2008	2009	R1b1b2a1b2	R1b1b2a1a2b	M153
2008	2009	R1b1b2a1b3	R1b1b2a1a2c	M167
2008	2009	R1b1b2a1b4	R1b1b2a1a2d	S28
2008	2009	R1b1b2a1b4a	R1b1b2a1a2d1	M126
2008	2009	R1b1b2a1b4b	R1b1b2a1a2d2	M160
2008	2009	R1b1b2a1b5	R1b1b2a1a2e	S68
2008	2009	R1b1b2a1b6a	R1b1b2a1a2f1	M37
2008	2009	R1b1b2a1b6b	R1b1b2a1a2f2	M222
2008	2009	R1b1b2a1b6c	R1b1b2a1a2f3	P66
2009	2010	F4	H3	P254
2009	2010	G2a3b1a	G2a3b1a1	U1
2009	2010	G2a3b1a1	G2a3b1a1a	L13, L78
2009	2010	G2a3b1c	G2a3b1a3	L139
2009	2010	I2a2a	I2a2b	L161
2009	2010	I2a2b1	I2a2a1	P41.2
2009	2010	J1c	J1c1	M390
2009	2010	J1d	J1c2	P56
2009	2010	J1e	J1c3	P58
2009	2010	J1e1	J1c3a	M367, M368
2009	2010	J1e2	J1c3b	M369
2009	2010	Q1a3a	Q1a3a1	M3
2009	2010	Q1a3a1	Q1a3a1a	M19
2009	2010	Q1a3a2	Q1a3a1b	M194
2009	2010	Q1a3a3	Q1a3a1c	M199, P106, P292
2009	2010	Q1a6	Q1a3b	M323
2009	2010	R1a1a1	R1a1a1a	M56
2009	2010	R1a1a2	R1a1a1b	M157
2009	2010	R1a1a3	R1a1a1c	M204, M64.2, M87
2009	2010	R1a1a4	R1a1a1d	P98
2009	2010	R1a1a5	R1a1a1e	PK5
2009	2010	R1a1a6	R1a1a1f	M434
2009	2010	R1a1a7	R1a1a1g	M458
2009	2010	R1a1a7a	R1a1a1g1	M334
2009	2010	T2	T2a1	P77
2010	2011	Q1b1*	Q1b1a*	--
2010	2011	E1a4	E1a3	L94
2010	2011	E1b1a2	E1b1a1a1b	M116.2
2010	2011	E1b1a3	E1b1a1a1c	M149
2010	2011	E1b1a4	E1b1a1a1g1c	M154
2010	2011	E1b1a5	E1b1a1a1d	M155
2010	2011	E1b1a6	E1b1a1a1e	M10, M156, M195, M66
2010	2011	E1b1a7	E1b1a1a1f1a	M191, P253, U186
2010	2011	E1b1a7a	E1b1a1a1f1a1	P252
2010	2011	E1b1a7a1	E1b1a1a1f1a1a	P9.2
2010	2011	E1b1a7a2	E1b1a1a1f1a1b	P115
2010	2011	E1b1a7a3	E1b1a1a1f1a1c	P116
2010	2011	E1b1a7a3a	E1b1a1a1f1a1c1	P113
2010	2011	E1b1a8	E1b1a1a1g	U175
2010	2011	E1b1a8a1	E1b1a1a1g1a	U290
2010	2011	E1b1a8a1a	E1b1a1a1g1a1	U181
2010	2011	E1b1a8a2	E1b1a1a1g1b	P59
2010	2011	E1b1a9	E1b1a1a1h	P268, P269
2010	2011	E1b1b1a1	E1b1b1a1a	V12
2010	2011	E1b1b1a1a	E1b1b1a1a1	M224
2010	2011	E1b1b1a1b	E1b1b1a1a2	V32
2010	2011	E1b1b1a2a	E1b1b1a1b1	V27
2010	2011	E1b1b1a2c	E1b1b1a1b3	L17
2010	2011	E1b1b1a3	E1b1b1a1c	V22
2010	2011	E1b1b1a3a	E1b1b1a1c1	M148
2010	2011	E1b1b1a3b	E1b1b1a1c2	V19
2010	2011	E1b1b1a5	E1b1b1a1e	M521
2010	2011	E1b1b1b	E1b1b1b1	M81
2010	2011	E1b1b1b1	E1b1b1b1a	M107
2010	2011	E1b1b1b2a	E1b1b1b1b1	M165
2010	2011	E1b1b1e	E1b1b1d	V6
2010	2011	E1b1b1f	E1b1b1e1	P72
2010	2011	E1b1b1g	E1b1b1e	M293
2010	2011	E1b1c	E1b1a2	M329
2010	2011	G2a3b1a2	G2a3b1a2a	L43
2010	2011	G2a3b1a2a	G2a3b1a2a1	L42
2010	2011	I2a	I2a1	P37.2
2010	2011	I2a1a	I2a1a1	L160
2010	2011	I2a2	I2a1b	L178, M423
2010	2011	I2a3	I2a1c	L233
2010	2011	I2b1a	I2a2a1	M284
2010	2011	I2b1a1	I2a2a1a	L126, L137
2010	2011	I2b1b	I2a2a2	M379
2010	2011	I2b1c	I2a2a3	P78
2010	2011	I2b1d	I2a2a4	P95
2010	2011	O2a	O2a1	M95
2010	2011	O2a1	O2a1a	M111, M88
2010	2011	O2a1a	O2a	PK4
2010	2011	O2a2	O2a1b	M297
2010	2011	O2b1	O2b1a	47z
2010	2011	O3a2	O3a1b	M164
2010	2011	O3a3b	O3a2b	M7
2010	2011	O3a3b1	O3a2b1	M113, M188, M209
2010	2011	O3a3b1a	O3a2b1a	N4
2010	2011	O3a3b1b	O3a2b1b	N5
2010	2011	O3a3c	O3a2c1	M134
2010	2011	O3a3c2	O3a2c1b	P101
2010	2011	O3a4a	O3a1c1	P103
2010	2011	O3a5	O3a3	M300
2010	2011	O3a6	O3a4	M333
2010	2011	Q1b1	Q1b1a	L245
2011	2012	A2a	A1b1a1a1a	M114
2011	2012	A2b	A1b1a1a1b	P28
2011	2012	A2c	A1b1a1a1c	P262
2011	2012	A3	A1b1b	M32
2011	2012	A3b2b	A1b1b2b1	M118
2011	2012	C3a	C3a1	M93
2011	2012	C3b	C3a2	P39
2011	2012	Q1b1a*	J2a1h2d*	--
2011	2012	C3d	C3a4	M407
2011	2012	C3e	C3a5	P53.1
2011	2012	C3f	C3a6	P62
2011	2012	E1b1b1b1	E1b1b1b1a	M81
2011	2012	E1b1b1b1a	E1b1b1b1a1	M107
2011	2012	E1b1b1b1b1	E1b1b1b1a2a	M165
2011	2012	E1b1b1c	E1b1b1b2a	M123
2011	2012	E1b1b1c1	E1b1b1b2a1	M34
